"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05416","Human Diseases","Cardiovascular disease","mmu05416","Viral myocarditis - Mus musculus (house mouse)","25/408","94/9574",0.265957446808511,6.24087400917814,10.7727768052289,7.23122751305395e-14,1.91956221255614e-12,1.65384055083243e-12,"12487/20649/14972/15001/14998/15000/14999/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990/13527",25
"mmu04672","Organismal Systems","Immune system","mmu04672","Intestinal immune network for IgA production - Mus musculus (house mouse)","16/408","43/9574",0.372093023255814,8.73141814865481,10.7198409058523,8.15391608283523e-12,1.98411958015657e-10,1.70946135420844e-10,"12487/24099/57916/12777/56838/72049/16421/15001/14998/15000/14999/15002/14961/14960/14969/381091",16
"mmu04145","Cellular Processes","Transport and catabolism","mmu04145","Phagosome - Mus musculus (house mouse)","31/408","183/9574",0.169398907103825,3.97506160934319,8.57293977718917,3.11180655920712e-11,6.98959627144983e-10,6.0220386044575e-10,"17167/13040/50909/170786/280408/14972/15001/14998/15000/14999/21354/21355/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990/22153/12475",31
"mmu04061","Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)","22/408","95/9574",0.231578947368421,5.43415892672859,9.16338598143084,4.71074056745769e-11,9.82525889784032e-10,8.46516538061945e-10,"16182/16963/16184/56221/20299/20295/76527/12145/252837/12773/23832/20306/20307/20304/20303/12775/12777/56838/16185/12458/16186/12766",22
"mmu05310","Human Diseases","Immune disease","mmu05310","Asthma - Mus musculus (house mouse)","12/408","25/9574",0.48,11.2635294117647,10.8405663877274,9.61683409756424e-11,1.87207703765917e-09,1.61292866618797e-09,"14125/19074/15001/14998/15000/14999/15002/14961/14960/14969/381091/14126",12
"mmu05166","Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)","35/408","247/9574",0.1417004048583,3.32509724537588,7.81057117690402,2.8028047395248e-10,5.11511864963275e-09,4.40704166280544e-09,"23797/16184/12010/73333/12578/12502/12500/12501/432530/17702/16185/72049/14972/15001/14998/15000/14999/15002/14961/14960/14969/381091/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990/16186",35
"mmu04658","Organismal Systems","Immune system","mmu04658","Th1 and Th2 cell differentiation - Mus musculus (house mouse)","20/408","88/9574",0.227272727272727,5.33311051693405,8.61516751585415,5.21469182737994e-10,8.95700007997025e-09,7.71709812225267e-09,"20849/12503/18761/16184/16797/12502/12500/12501/16160/16185/15001/14998/15000/14999/15002/14961/14960/14969/381091/16186",20
"mmu05340","Human Diseases","Immune disease","mmu05340","Primary immunodeficiency - Mus musculus (house mouse)","13/408","36/9574",0.361111111111111,8.47372004357299,9.47815052491685,1.1954808567939e-09,1.93933561213233e-08,1.67087675306283e-08,"12526/12525/12518/12478/12500/12501/57916/72049/12265/21354/21355/16186/12229",13
"mmu04659","Organismal Systems","Immune system","mmu04659","Th17 cell differentiation - Mus musculus (house mouse)","21/408","105/9574",0.2,4.69313725490196,8.0279049948609,2.33968721283136e-09,3.59572982182504e-08,3.09797919039721e-08,"12503/18761/16184/60504/16797/12502/12500/12501/16364/16185/15001/14998/15000/14999/15002/14961/14960/14969/381091/20371/16186",21
"mmu05164","Human Diseases","Infectious disease: viral","mmu05164","Influenza A - Mus musculus (house mouse)","27/408","174/9574",0.155172413793103,3.64122718052738,7.41789428545155,4.49504624364241e-09,6.56276751571792e-08,5.65429501173966e-08,"23797/73333/246728/246727/23961/23960/246730/54123/16160/20304/76815/58185/12265/17857/17858/100503895/17229/15001/14998/15000/14999/15002/14961/14960/14969/381091/170722",27
"mmu04060","Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)","35/408","294/9574",0.119047619047619,2.79353408029879,6.58981913553825,2.9903546521659e-08,4.15801694491639e-07,3.58242988404837e-07,"16182/16963/16184/22163/20309/56221/16170/60504/24099/20299/20295/76527/12145/252837/12773/23832/14561/16160/57916/20306/20307/20304/20303/18053/12775/12777/56838/29820/21943/16185/72049/12458/16994/16186/12766",35
"mmu05321","Human Diseases","Immune disease","mmu05321","Inflammatory bowel disease - Mus musculus (house mouse)","15/408","62/9574",0.241935483870968,5.67718216318786,7.79486132567906,3.18347681160262e-08,4.2253419499453e-07,3.64043520561257e-07,"16182/20849/60504/16160/15001/14998/15000/14999/15002/14961/14960/14969/381091/20371/16186",15
"mmu05202","Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer - Mus musculus (house mouse)","28/408","226/9574",0.123893805309735,2.90725316675343,6.12163451396704,3.3238125321637e-07,4.21979677996435e-06,3.635657643877e-06,"22029/18507/18124/14255/66298/634825/382059/100041759/13237/13239/100041890/626682/626708/100041952/503491/18791/17392/235320/12047/17268/18053/20474/319152/319153/16185/16421/104156/12475",28
"mmu05162","Human Diseases","Infectious disease: viral","mmu05162","Measles - Mus musculus (house mouse)","21/408","145/9574",0.144827586206897,3.39847870182556,6.13975772400547,7.91422925129436e-07,9.62897892240814e-06,8.29605610113751e-06,"12487/23797/16184/246728/246727/23961/23960/246730/54123/170786/12502/12500/12501/81897/16160/16185/17857/17858/15511/193740/16186",21
"mmu05323","Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)","15/408","87/9574",0.172413793103448,4.04580797836376,6.02090646560775,3.38741947373329e-06,3.95650594532048e-05,3.40881370198845e-05,"12487/24099/17392/20304/21943/15001/14998/15000/14999/15002/14961/14960/14969/381091/16994",15
"mmu04621","Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)","25/408","216/9574",0.115740740740741,2.7159359114016,5.38146602803111,5.00305344627152e-06,5.61881387042801e-05,4.84101122938823e-05,"15951/229898/55932/14468/14469/246728/246727/23961/23960/246730/54123/66298/634825/382059/100041759/13237/13239/100041890/626682/626708/100041952/503491/637515/20304/54483",25
"mmu05322","Human Diseases","Immune disease","mmu05322","Systemic lupus erythematosus - Mus musculus (house mouse)","20/408","150/9574",0.133333333333333,3.12875816993464,5.54393976612725,5.35516361349884e-06,5.79151027830245e-05,4.98980157359151e-05,"12487/50909/320332/404634/319152/319153/665433/100041230/326619/15001/14998/15000/14999/15002/14961/14960/14969/381091/12268/12263",20
"mmu05145","Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis - Mus musculus (house mouse)","15/408","109/9574",0.137614678899083,3.22922288181328,4.93822207552631,5.54136305353246e-05,0.000577885004154099,0.000497889387140698,"23797/16160/18126/12265/15001/14998/15000/14999/15002/14961/14960/14969/381091/15511/193740",15
"mmu05152","Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis - Mus musculus (house mouse)","20/408","180/9574",0.111111111111111,2.60729847494553,4.59273821891304,7.94210934990422e-05,0.000799688251783459,0.000688988796597861,"23797/13040/16411/170786/81897/16160/18126/22337/12265/15001/14998/15000/14999/15002/14961/14960/14969/381091/12475/16149",20
"mmu04610","Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","13/408","94/9574",0.138297872340426,3.24525448477263,4.61518925908843,0.000163898367887774,0.00154900683621357,0.00133458051137362,"11905/14067/12902/14061/12630/50909/16411/18791/20701/20704/15160/12268/12263",13
"mmu05140","Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis - Mus musculus (house mouse)","11/408","70/9574",0.157142857142857,3.6874649859944,4.76105069089165,0.000164449355899386,0.00154900683621357,0.00133458051137362,"16160/18126/15001/14998/15000/14999/15002/14961/14960/14969/381091",11
"mmu05170","Human Diseases","Infectious disease: viral","mmu05170","Human immunodeficiency virus 1 infection - Mus musculus (house mouse)","23/408","241/9574",0.0954356846473029,2.23946383532666,4.11145870396354,0.000243641613951811,0.00222322972731027,0.00191547189916062,"12503/23797/12010/209387/69550/12502/12500/12501/14972/21354/21355/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990",23
"mmu05203","Human Diseases","Cancer: overview","mmu05203","Viral carcinogenesis - Mus musculus (house mouse)","22/408","228/9574",0.0964912280701754,2.26423288613691,4.07610913123467,0.000283696396356412,0.00251028326472946,0.0021627891141685,"20684/22029/12578/320332/54123/12773/20259/100041230/326619/14972/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990",22
"mmu02010","Environmental Information Processing","Membrane transport","mmu02010","ABC transporters - Mus musculus (house mouse)","9/408","52/9574",0.173076923076923,4.06136877828054,4.67000576272077,0.000305780375175218,0.00262611381032834,0.002262585438603,"18671/26357/20928/268379/76408/27404/21354/21355/12780",9
"mmu04062","Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway - Mus musculus (house mouse)","19/408","193/9574",0.0984455958549223,2.31009346743879,3.87900690047601,0.000568393323761095,0.00474202430109257,0.0040855941166587,"16963/23797/20309/56221/20299/20295/12145/12773/23832/432530/20306/20307/20304/20303/12775/12777/56838/12458/12766",19
"mmu04662","Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway - Mus musculus (house mouse)","11/408","84/9574",0.130952380952381,3.07288748832867,4.02574675532677,0.00082714052627103,0.00670902871308724,0.00578030952569521,"23797/12902/242248/12517/12518/12483/12478/68713/15985/12143/12229",11
"mmu05235","Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer - Mus musculus (house mouse)","11/408","88/9574",0.125,2.93321078431373,3.84364411782946,0.00122397119815699,0.00943651302154883,0.00813023292051251,"12487/12503/23797/18761/16797/12502/12500/12501/81897/74481/60533",11
"mmu05163","Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection - Mus musculus (house mouse)","22/408","254/9574",0.0866141732283465,2.03246101590242,3.51841245212102,0.001228039365818,0.00943651302154883,0.00813023292051251,"23797/12010/19218/12578/432530/20304/20303/14972/21354/21355/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990",22
"mmu00380","Metabolism","Amino acid metabolism","mmu00380","Tryptophan metabolism - Mus musculus (house mouse)","8/408","52/9574",0.153846153846154,3.61010558069382,3.98162030972171,0.00147055247821552,0.0110102903497162,0.00948615498767906,"71872/98256/209692/70789/56720/21990/15930/13078",8
"mmu05165","Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection - Mus musculus (house mouse)","27/408","359/9574",0.0752089136490251,1.76482877273472,3.11621889617286,0.00291252482355166,0.0212614312119271,0.0183182482323381,"22420/329278/23797/22417/100038882/20750/23962/231655/93897/665033/16421/17857/17858/14972/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990/94216",27
"mmu05142","Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease - Mus musculus (house mouse)","11/408","103/9574",0.106796116504854,2.50604416523891,3.2420714851522,0.00431749366659781,0.0307489792840624,0.026492451510061,"12503/23797/12502/12500/12501/81897/432530/16160/18126/20304/14680",11
"mmu04218","Cellular Processes","Cell growth and death","mmu04218","Cellular senescence - Mus musculus (house mouse)","16/408","183/9574",0.087431693989071,2.05164470159649,3.0304201652406,0.00501057526515176,0.0348354280339123,0.0300132202599316,"23797/73333/12578/14972/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990",16
"mmu04064","Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway - Mus musculus (house mouse)","11/408","107/9574",0.102803738317757,2.41236027121129,3.09952666900741,0.00576592012366714,0.0391546203746698,0.0337345143098273,"18761/22029/16797/24099/12047/20303/21943/72049/16994/12475/12229",11
"mmu05160","Human Diseases","Infectious disease: viral","mmu05160","Hepatitis C - Mus musculus (house mouse)","14/408","167/9574",0.0838323353293413,1.96718328049783,2.66014695107526,0.0119001246112911,0.0789735542385685,0.0680413823468561,"23797/246728/246727/23961/23960/246730/54123/58185/17857/17858/54419/667373/112419/15957",14
"mmu04660","Organismal Systems","Immune system","mmu04660","T cell receptor signaling pathway - Mus musculus (house mouse)","11/408","122/9574",0.0901639344262295,2.11575859852138,2.61669127187446,0.014844583638372,0.096324853831214,0.0829907716858693,"12487/12503/23797/18761/12526/12525/16797/12502/12500/12501/17444",11
"mmu04080","Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction - Mus musculus (house mouse)","26/408","392/9574",0.0663265306122449,1.55639755902361,2.37314235139431,0.0165976356115274,0.105358904316652,0.090774254259841,"320343/14526/14061/18167/19218/18619/23919/18386/14397/14400/109648/15465/100038489/100312986/68171/216643/19064/217369/57277/14293/14419/15566/11551/226278/14765/78826",26
"mmu04144","Cellular Processes","Transport and catabolism","mmu04144","Endocytosis - Mus musculus (house mouse)","19/408","270/9574",0.0703703703703704,1.65128903413217,2.29026102108477,0.021906928987675,0.136102622646832,0.117262173080724,"16184/330319/16185/14972/15511/193740/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990/16186",19
"mmu04977","Organismal Systems","Digestive system","mmu04977","Vitamin digestion and absorption - Mus musculus (house mouse)","4/408","26/9574",0.153846153846154,3.61010558069382,2.81159478165283,0.0230993343978234,0.140520950920092,0.121068879848241,"80721/65969/79235/11808",4
"mmu00140","Metabolism","Lipid metabolism","mmu00140","Steroid hormone biosynthesis - Mus musculus (house mouse)","9/408","99/9574",0.0909090909090909,2.13324420677362,2.39119877815605,0.024991385386067,0.148928255770032,0.128312376096026,"13123/13101/13105/380997/223706/68444/13078/72082/433247",9
"mmu05167","Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse)","16/408","223/9574",0.0717488789237668,1.6836366833729,2.17927956304849,0.0288329842030909,0.168384627746051,0.145075436306078,"23797/54123/12773/14972/15006/15013/15015/110557/15018/110558/15039/100529082/15024/630294/667977/14990",16
"mmu04726","Organismal Systems","Nervous system","mmu04726","Serotonergic synapse - Mus musculus (house mouse)","11/408","136/9574",0.0808823529411765,1.89795991926182,2.225105485818,0.0305079085170474,0.174672731117213,0.150493088453547,"271844/14400/21990/13101/13105/380997/223706/68444/15566/72082/433247",11
"mmu04512","Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction - Mus musculus (house mouse)","8/408","89/9574",0.0898876404494382,2.10927517074245,2.21809331231398,0.0355381799947334,0.199560549201195,0.171935729124318,"329278/329872/20750/54368/64176/665033/16421/94216",8
"mmu00785","Metabolism","Metabolism of cofactors and vitamins","mmu00785","Lipoic acid metabolism - Mus musculus (house mouse)","3/408","19/9574",0.157894736842105,3.70510835913313,2.49006283154912,0.0448310545468255,0.246993734484397,0.212802820986917,"209692/434437/239017",3
"mmu04664","Organismal Systems","Immune system","mmu04664","Fc epsilon RI signaling pathway - Mus musculus (house mouse)","6/408","66/9574",0.0909090909090909,2.13324420677362,1.94901451458448,0.0613617609118172,0.331808040486123,0.285876429979031,"14125/23797/271844/16797/14126/12229",6
"mmu04620","Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway - Mus musculus (house mouse)","8/408","104/9574",0.0769230769230769,1.80505279034691,1.74152704945696,0.0755546554638903,0.401126534462836,0.345599285279805,"23797/20750/54123/81897/16160/20304/20303/12475",8
"mmu05143","Human Diseases","Infectious disease: parasitic","mmu05143","African trypanosomiasis - Mus musculus (house mouse)","4/408","39/9574",0.102564102564103,2.40673705379588,1.8571589106402,0.0829079061655514,0.432305510720375,0.372462210029451,"20339/15930/81897/16160",4
"mmu05218","Human Diseases","Cancer: specific types","mmu05218","Melanoma - Mus musculus (house mouse)","6/408","72/9574",0.0833333333333333,1.95547385620915,1.71688706256555,0.0857323806028966,0.43919044098326,0.378394071359045,"23797/54635/12578/14174/80857/14165",6
"mmu00601","Metabolism","Glycan biosynthesis and metabolism","mmu00601","Glycosphingolipid biosynthesis - lacto and neolacto series - Mus musculus (house mouse)","3/408","27/9574",0.111111111111111,2.60729847494553,1.76444911391805,0.105764188220447,0.516910783615914,0.445355722005059,"80908/20443/14422",3
"mmu04981",NA,NA,"mmu04981","Folate transport and metabolism - Mus musculus (house mouse)","3/408","27/9574",0.111111111111111,2.60729847494553,1.76444911391805,0.105764188220447,0.516910783615914,0.445355722005059,"26357/76408/12780",3
"mmu05226","Human Diseases","Cancer: specific types","mmu05226","Gastric cancer - Mus musculus (house mouse)","10/408","150/9574",0.0666666666666667,1.56437908496732,1.46981639178719,0.107174270746241,0.516910783615914,0.445355722005059,"22420/23797/22417/18671/20423/93897/14174/80857/14165/218772",10
"mmu05133","Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis - Mus musculus (house mouse)","6/408","77/9574",0.0779220779220779,1.82849503437739,1.53994864474778,0.10955601794129,0.516910783615914,0.445355722005059,"50909/16160/18126/12268/12263/12475",6
"mmu00983","Metabolism","Xenobiotics biodegradation and metabolism","mmu00983","Drug metabolism - other enzymes - Mus musculus (house mouse)","7/408","95/9574",0.0736842105263158,1.72905056759546,1.50661531561008,0.110163631918316,0.516910783615914,0.445355722005059,"382044/104158/13897/234671/234673/100042295/22271",7
"mmu05134","Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis - Mus musculus (house mouse)","5/408","60/9574",0.0833333333333333,1.95547385620915,1.56630756149619,0.111525271807543,0.516910783615914,0.445355722005059,"12176/16160/15511/193740/12475",5
"mmu04915","Organismal Systems","Endocrine system","mmu04915","Estrogen signaling pathway - Mus musculus (house mouse)","9/408","134/9574",0.0671641791044776,1.57605355575066,1.41675074039955,0.118174444742112,0.539170904135885,0.464534412719814,"23797/432530/16672/16663/16664/16666/268527/15511/193740",9
"mmu01523","Human Diseases","Drug resistance: antineoplastic","mmu01523","Antifolate resistance - Mus musculus (house mouse)","3/408","29/9574",0.103448275862069,2.42748478701826,1.62422692555959,0.124327876104728,0.558519074193548,0.481204249215061,"26357/76408/12780",3
"mmu05217","Human Diseases","Cancer: specific types","mmu05217","Basal cell carcinoma - Mus musculus (house mouse)","5/408","63/9574",0.0793650793650794,1.86235605353252,1.44879849042092,0.129884472830984,0.574640394949202,0.495093923550322,"22420/19207/22417/20423/93897",5
"mmu04623","Organismal Systems","Immune system","mmu04623","Cytosolic DNA-sensing pathway - Mus musculus (house mouse)","6/408","82/9574",0.0731707317073171,1.71700143472023,1.37566367805151,0.136402754266372,0.594471705160903,0.51218001994757,"15951/58203/54123/20304/20303/54483",6
"mmu00910","Metabolism","Energy metabolism","mmu00910","Nitrogen metabolism - Mus musculus (house mouse)","2/408","17/9574",0.117647058823529,2.76066897347174,1.53287084258817,0.162043744772089,0.685750340194929,0.590823112136222,"227231/12351",2
"mmu03265","Genetic Information Processing","Information processing in viruses","mmu03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus - Mus musculus (house mouse)","2/408","17/9574",0.117647058823529,2.76066897347174,1.53287084258817,0.162043744772089,0.685750340194929,0.590823112136222,"170786/18053",2
"mmu04974","Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption - Mus musculus (house mouse)","7/408","108/9574",0.0648148148148148,1.52092411038489,1.1485959244688,0.177121285047414,0.729918464090344,0.628877119385697,"12873/665033/50934/56643/17287/17288/94216",7
"mmu05221","Human Diseases","Cancer: specific types","mmu05221","Acute myeloid leukemia - Mus musculus (house mouse)","5/408","70/9574",0.0714285714285714,1.67612044817927,1.19779931783513,0.177480174487721,0.729918464090344,0.628877119385697,"23797/14255/235320/12047/12475",5
"mmu04020","Environmental Information Processing","Signal transduction","mmu04020","Calcium signaling pathway - Mus musculus (house mouse)","14/408","255/9574",0.0549019607843137,1.28831218762015,0.984492972259215,0.199608785853899,0.809524520407477,0.697463447647394,"12372/73333/54635/19218/15465/14174/80857/432530/18126/14165/58226/12326/14680/15566",14
"mmu01240","Metabolism","Global and overview maps","mmu01240","Biosynthesis of cofactors - Mus musculus (house mouse)","9/408","153/9574",0.0588235294117647,1.38033448673587,1.00052306488024,0.205442892738359,0.820663959363726,0.707060873424407,"11648/98256/70789/56720/15930/22169/11720/268756/11656",9
"mmu04614","Organismal Systems","Endocrine system","mmu04614","Renin-angiotensin system - Mus musculus (house mouse)","3/408","37/9574",0.0810810810810811,1.90262321144674,1.16055480152695,0.207976482852451,0.820663959363726,0.707060873424407,"12873/17228/17227",3
"mmu04972","Organismal Systems","Digestive system","mmu04972","Pancreatic secretion - Mus musculus (house mouse)","7/408","115/9574",0.0608695652173913,1.42834612105712,0.974956705151788,0.218966899905668,0.852068197340349,0.734117877304771,"12873/80797/229927/23844/432530/18946/18947",7
"mmu04923","Organismal Systems","Endocrine system","mmu04923","Regulation of lipolysis in adipocytes - Mus musculus (house mouse)","4/408","57/9574",0.0701754385964912,1.64671482628139,1.03315241505239,0.224299523111289,0.852068197340349,0.734117877304771,"23797/19218/109648/432530",4
"mmu00220","Metabolism","Amino acid metabolism","mmu00220","Arginine biosynthesis - Mus musculus (house mouse)","2/408","21/9574",0.0952380952380952,2.23482726423903,1.19511625378297,0.224689216421941,0.852068197340349,0.734117877304771,"227231/18126",2
"mmu05144","Human Diseases","Infectious disease: parasitic","mmu05144","Malaria - Mus musculus (house mouse)","5/408","77/9574",0.0649350649350649,1.52374586198116,0.973502189975409,0.230552697510867,0.863094713758631,0.743618012214538,"20339/80782/27007/14934/81897",5
"mmu04668","Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway - Mus musculus (house mouse)","7/408","118/9574",0.0593220338983051,1.39203223662346,0.904010004489592,0.237903849139565,0.879340809477886,0.757615189131993,"16182/20339/23797/22029/17392/15953/20304",7
"mmu05033","Human Diseases","Substance dependence","mmu05033","Nicotine addiction - Mus musculus (house mouse)","3/408","40/9574",0.075,1.75992647058824,1.01608064571204,0.242038129490416,0.88343917264002,0.761146223002757,"14397/14400/216643",3
"mmu04550","Cellular Processes","Cellular community - eukaryotes","mmu04550","Signaling pathways regulating pluripotency of stem cells - Mus musculus (house mouse)","8/408","140/9574",0.0571428571428571,1.34089635854342,0.857240396604558,0.247131093604412,0.890892337438127,0.767567659148206,"22420/23797/55994/22417/21386/93897/17268/15110",8
"mmu05215","Human Diseases","Cancer: specific types","mmu05215","Prostate cancer - Mus musculus (house mouse)","6/408","100/9574",0.06,1.40794117647059,0.865157223844902,0.253561064830947,0.902924767446788,0.777934460777874,"23797/54635/18791/17392/18095/104156",6
"mmu04976","Organismal Systems","Digestive system","mmu04976","Bile secretion - Mus musculus (house mouse)","6/408","101/9574",0.0594059405940594,1.39400116482236,0.839805295013636,0.260786956272308,0.909462912034163,0.783567541370458,"18671/26357/11833/432530/76408/12780",6
"mmu04213","Organismal Systems","Aging","mmu04213","Longevity regulating pathway - multiple species - Mus musculus (house mouse)","4/408","61/9574",0.0655737704918033,1.53873352619736,0.890521392757125,0.261626317160513,0.909462912034163,0.783567541370458,"23797/432530/15511/193740",4
"mmu00830","Metabolism","Metabolism of cofactors and vitamins","mmu00830","Retinol metabolism - Mus musculus (house mouse)","6/408","102/9574",0.0588235294117647,1.38033448673587,0.814721416058727,0.268066584544462,0.92088756102333,0.793410696051103,"71872/79235/11522/103142/72082/433247",6
