"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","51/790","393/28928",0.129770992366412,4.75191805971591,12.5481387590421,2.59225680169863e-20,1.02005305146841e-17,7.49707953964945e-18,"12487/240754/20339/16963/18761/16184/12010/751864/18124/12578/20423/74734/83408/12515/27027/24099/15930/234199/20443/12501/67596/16160/20304/78473/12775/20533/56838/21943/15117/72049/100043314/208154/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/547431/11629/16149/12507/12511/60533/58205/20371/16186",51
"GO:0048525","GO:0048525","negative regulation of viral process","29/790","115/28928",0.252173913043478,9.23403412217942,14.8247020557624,4.02948315568249e-20,1.46363226624098e-17,1.07572517929435e-17,"20684/102639543/623121/236312/100033459/100040462/15950/19130/20568/100038882/23962/231655/246728/246727/23961/23960/246730/76681/434219/20128/209387/68713/69550/20304/58185/12265/17858/224762/16149",29
"GO:0002218","GO:0002218","activation of innate immune response","46/790","324/28928",0.141975308641975,5.19881231442413,12.7351543639925,5.02074203889593e-20,1.69342456483333e-17,1.2446155264842e-17,"102639543/623121/236312/100033459/15951/100040462/381308/15950/226695/228801/58203/229898/55932/14468/14469/100061/231655/246727/23961/23960/246730/414084/16643/27007/76681/434219/20128/209387/244202/54123/234311/81897/327957/637515/80861/382551/58185/16364/54483/15511/224762/224840/12475/60533/71398/12229",46
"GO:0002697","GO:0002697","regulation of immune effector process","56/790","487/28928",0.114989733059548,4.21066202271723,11.9730630983153,1.12192548663755e-19,3.531821431935e-17,2.59578128382035e-17,"16182/12487/13345/16963/30925/14125/12902/19074/12010/16447/18124/22163/83408/80782/12515/16643/27007/12483/243958/14128/234311/69550/81897/215900/22364/16160/327957/12775/80861/58185/13421/57757/14972/15000/14999/21354/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/69816/16149/14126/60533/20371/20400/12229",56
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","42/790","285/28928",0.147368421052632,5.39629580279813,12.4973725181254,5.26558377034952e-19,1.5540054102244e-16,1.142146690187e-16,"12487/20339/16963/18761/16184/12010/751864/18124/20423/74734/83408/24099/20443/12501/67596/16160/20304/78473/12775/20533/21943/15117/72049/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/547431/11629/16149/12507/12511/60533/58205/20371/16186",42
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","40/790","259/28928",0.154440154440154,5.65524656663897,12.609705071854,6.66309854355415e-19,1.85077360721545e-16,1.36026228471195e-16,"12487/16963/18761/16184/12578/22163/20423/93675/12483/243958/27027/170786/24099/15930/12501/81897/16160/57916/20304/12775/20533/20666/14165/321019/72049/208154/320484/15000/14999/14960/547431/11629/69816/16149/14419/12511/60533/58205/20371/12229",40
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","44/790","320/28928",0.1375,5.03493670886076,12.161484713568,1.15690828735045e-18,3.03495607381602e-16,2.23060036455815e-16,"12487/69169/240754/12503/14125/12902/228801/77799/329693/18124/23961/23960/246730/414084/12526/12525/93675/16643/27007/12518/12483/16797/12478/14128/12501/12047/67596/327957/78473/12775/15985/12143/208154/14293/547431/100038862/632126/624681/74556/12475/12482/20371/20400/12229",44
"GO:0050863","GO:0050863","regulation of T cell activation","49/790","397/28928",0.123425692695214,4.51956764340146,11.8316333731822,1.22160000374698e-18,3.03599748299643e-16,2.23136576861705e-16,"12487/240754/16963/18761/16184/12010/751864/54390/12578/20423/74734/83408/93675/12515/16797/27027/170786/24099/15930/234199/12501/67596/16160/20304/12775/20533/21943/72049/100043314/208154/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/547431/11629/16149/12507/12511/60533/58205/20371/16186",49
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","40/790","264/28928",0.151515151515152,5.54813962408899,12.4390148228763,1.34128928221322e-18,3.16678399530541e-16,2.32748987550367e-16,"12487/16963/18761/16184/12578/22163/20423/93675/12483/243958/27027/170786/24099/15930/12501/81897/16160/57916/20304/12775/20533/20666/14165/321019/72049/208154/320484/15000/14999/14960/547431/11629/69816/16149/14419/12511/60533/58205/20371/12229",40
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","41/790","286/28928",0.143356643356643,5.24939364433035,12.101158272159,3.86034331114183e-18,8.68025767391035e-16,6.37972526157124e-16,"12487/16963/18761/16184/12578/22163/20423/93675/12483/243958/27027/170786/24099/15930/76527/12501/81897/16160/57916/20304/12775/20533/20666/14165/321019/72049/208154/320484/15000/14999/14960/547431/11629/69816/16149/14419/12511/60533/58205/20371/12229",41
"GO:0045071","GO:0045071","negative regulation of viral genome replication","21/790","65/28928",0.323076923076923,11.8303407984421,14.6469330762824,2.19432129457541e-17,4.70981143317504e-15,3.46156809005509e-15,"102639543/623121/236312/100033459/100040462/15950/19130/20568/100038882/23962/231655/246728/246727/23961/23960/246730/68713/69550/20304/58185/17858",21
"GO:0002821","GO:0002821","positive regulation of adaptive immune response","32/790","179/28928",0.17877094972067,6.5461848525564,12.4717706339637,2.73688215515422e-17,5.54195281649408e-15,4.0731666858336e-15,"16182/12487/16963/14125/18761/12010/83408/244202/14128/24099/16160/78473/58185/72049/14972/14998/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/16149/20371/12229",32
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","41/790","302/28928",0.135761589403974,4.9712800737698,11.6244465649945,2.81674857255099e-17,5.54195281649408e-15,4.0731666858336e-15,"12487/69169/240754/12503/12902/228801/77799/329693/18124/23961/23960/246730/414084/12526/12525/93675/16643/27007/12518/12483/16797/12478/12501/12047/67596/327957/78473/12775/15985/12143/14293/547431/100038862/632126/624681/74556/12475/12482/20371/20400/12229",41
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","46/790","383/28928",0.120104438642298,4.39795088739796,11.2168288047101,4.15613982705624e-17,7.85011690534382e-15,5.76959705675976e-15,"12487/16963/18761/16184/12010/751864/18124/22163/20423/74734/83408/27007/16170/24099/17394/12501/81897/67596/16160/20304/12775/20533/14165/21943/321019/72049/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/547431/11629/16149/12507/12511/60533/58205/20371/16186/12229",46
"GO:0002819","GO:0002819","regulation of adaptive immune response","38/790","263/28928",0.144486692015209,5.29077345141262,11.7126756479887,5.04110141420272e-17,9.15541572225587e-15,6.72895196867465e-15,"16182/12487/16963/14125/12902/18761/12010/83408/12515/16643/244202/54123/14128/24099/16160/78473/12775/58185/72049/14972/14998/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/16149/60533/20371/12229",38
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","43/790","340/28928",0.126470588235294,4.63106478034252,11.2849645630721,6.69752035497741e-17,1.17132189319272e-14,8.60885949721658e-15,"12487/20339/16963/18761/16184/12010/751864/18124/20423/74734/83408/26367/24099/20443/12501/67596/16160/20304/78473/12775/20533/21943/15117/72049/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/547431/11629/16149/12507/12511/60533/58205/20371/16186",43
"GO:0035456","GO:0035456","response to interferon-beta","22/790","77/28928",0.285714285714286,10.4622061482821,13.9307969950219,7.36195862014025e-17,1.24154173586794e-14,9.12495397391068e-15,"102639543/623121/236312/100033459/15951/100040462/381308/15950/226695/55932/14468/14469/23961/23960/246730/68713/69550/15953/327959/240327/15959/15957",22
"GO:0050867","GO:0050867","positive regulation of cell activation","47/790","407/28928",0.115479115479115,4.22858209187323,10.9912046587014,8.92233907617713e-17,1.45280293509339e-14,1.06776595042309e-14,"12487/16963/18761/16184/12010/751864/18124/22163/20423/74734/83408/54368/27007/16170/24099/17394/12501/81897/67596/16160/20304/12775/20533/14165/21943/321019/72049/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/547431/11629/16149/12507/12511/60533/58205/20371/16186/12229",47
"GO:0050870","GO:0050870","positive regulation of T cell activation","37/790","259/28928",0.142857142857143,5.23110307414105,11.4608240680265,1.90331318140025e-16,2.995814947524e-14,2.20183282774619e-14,"12487/16963/18761/16184/12010/751864/20423/74734/83408/24099/12501/67596/16160/20304/12775/20533/21943/72049/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/547431/11629/16149/12507/12511/60533/58205/20371/16186",37
"GO:0002699","GO:0002699","positive regulation of immune effector process","41/790","324/28928",0.126543209876543,4.63372401937803,11.0212204875066,3.49546921433837e-16,5.32438891293735e-14,3.91326383690105e-14,"16182/12487/16963/30925/14125/12010/18124/22163/83408/16643/27007/14128/234311/81897/16160/327957/12775/80861/58185/14972/15000/14999/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/69816/16149/14126/20371/20400/12229",41
"GO:0032496","GO:0032496","response to lipopolysaccharide","50/790","476/28928",0.105042016806723,3.84639931922136,10.492078566584,4.5139649214563e-16,6.45470330991021e-14,4.74401052470496e-14,"227231/98256/12902/12010/20568/229898/55932/14468/14469/19218/18619/18671/20309/20617/414084/27007/76681/434219/20128/209387/66298/634825/382059/100041759/13237/13239/626682/626708/100041952/503491/15930/17394/81897/16160/327957/18126/66107/12775/22169/17079/14165/100503545/12263/12475/12511/60533/58205/20371/12705/12229",50
"GO:0002824","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","30/790","171/28928",0.175438596491228,6.42416166999778,11.9200347833913,4.63742909492027e-16,6.45470330991021e-14,4.74401052470496e-14,"16182/12487/16963/14125/18761/12010/83408/244202/14128/24099/16160/58185/72049/14972/14998/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/20371/12229",30
"GO:0002237","GO:0002237","response to molecule of bacterial origin","51/790","494/28928",0.103238866396761,3.78037205965254,10.4439802355976,4.6476050939633e-16,6.45470330991021e-14,4.74401052470496e-14,"227231/98256/12902/12010/20568/229898/55932/14468/14469/19218/18619/18671/20309/20617/414084/27007/76681/434219/20128/209387/66298/634825/382059/100041759/13237/13239/626682/626708/100041952/503491/15930/17394/81897/16160/327957/18126/66107/12775/22169/17079/14165/100503545/21355/12263/12475/12511/60533/58205/20371/12705/12229",51
"GO:0006959","GO:0006959","humoral immune response","41/790","327/28928",0.125382262996942,4.59121278984245,10.9431672604658,4.84249163623378e-16,6.53321300179883e-14,4.80171275929707e-14,"69169/16963/12902/14061/12010/192201/20568/16447/12630/16069/20309/56221/83408/109648/50909/14128/66298/634825/382059/100041759/13237/13239/626682/626708/100041952/503491/20299/20295/20306/20307/20304/20303/66107/12775/56838/78416/321019/14998/12268/12263/20400",41
"GO:0002449","GO:0002449","lymphocyte mediated immunity","51/790","496/28928",0.102822580645161,3.76512862392813,10.4080915045635,5.4862644402414e-16,7.19615019078331e-14,5.28895142089939e-14,"16182/12487/69169/16963/30925/14125/12902/12010/12481/12630/83408/12525/50909/80782/16643/27007/72310/60504/12478/54123/14128/215900/16160/20556/58185/16185/12458/14972/14998/21354/21355/12268/12263/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/224840/16149/60533/20371/20400/12229",51
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","42/790","346/28928",0.121387283236994,4.4449257335187,10.8016533702265,6.78203192532924e-16,8.65533912200127e-14,6.36141088415662e-14,"12487/16963/18761/16184/12010/751864/22163/20423/74734/83408/24099/12501/81897/67596/16160/20304/12775/20533/14165/21943/321019/72049/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/547431/11629/16149/12507/12511/60533/58205/20371/16186/12229",42
"GO:1903900","GO:1903900","regulation of viral life cycle","29/790","163/28928",0.177914110429448,6.51480935000388,11.8307083162371,9.7341976791719e-16,1.20960214318552e-13,8.89020768649024e-14,"102639543/623121/236312/100033459/100040462/15950/19130/20568/100038882/23962/231655/246728/246727/23961/23960/246730/94094/76681/434219/20128/209387/68713/69550/20304/58185/12265/17858/224762/16149",29
"GO:0002822","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","35/790","247/28928",0.1417004048583,5.18874596422898,11.0778118612196,1.61141309699234e-15,1.95104939589688e-13,1.43396193813326e-13,"16182/12487/16963/14125/12902/18761/12010/83408/12515/16643/244202/14128/24099/16160/12775/58185/72049/14972/14998/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/60533/20371/12229",35
"GO:0001906","GO:0001906","cell killing","38/790","295/28928",0.128813559322034,4.71685904312379,10.7515803161282,2.38665585770537e-15,2.81744724002119e-13,2.0707379902249e-13,"16963/30925/14061/12010/12481/229898/55932/14468/14469/83408/80782/16643/27007/72310/14128/20299/20295/16160/18126/20307/56838/13421/14972/21354/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/20400",38
"GO:0031343","GO:0031343","positive regulation of cell killing","24/790","113/28928",0.212389380530973,7.77721518987342,12.0948313272712,4.62208241996911e-15,5.32328614319369e-13,3.91245333469529e-13,"16963/30925/12010/83408/16643/27007/14128/16160/18126/14972/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/20400",24
"GO:0002708","GO:0002708","positive regulation of lymphocyte mediated immunity","29/790","174/28928",0.166666666666667,6.10295358649789,11.3126861607224,5.81885199061668e-15,6.4754645982615e-13,4.75926943990463e-13,"16182/12487/16963/30925/14125/12010/83408/16643/27007/14128/16160/58185/14972/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/20371/20400/12229",29
"GO:0002703","GO:0002703","regulation of leukocyte mediated immunity","39/790","319/28928",0.122257053291536,4.47677473116146,10.4625894985349,5.89675937579933e-15,6.4754645982615e-13,4.75926943990463e-13,"16182/12487/16963/30925/14125/12902/12010/83408/80782/16643/27007/14128/69550/81897/215900/16160/327957/58185/13421/14972/21354/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/14126/60533/20371/20400/12229",39
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","34/790","248/28928",0.137096774193548,5.02017149857084,10.653675830933,1.11183068752497e-14,1.19319647874839e-12,8.76963104490387e-13,"16182/12487/16963/30925/14125/12902/12010/83408/80782/16643/27007/14128/215900/16160/58185/14972/21354/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/60533/20371/20400/12229",34
"GO:0002399","GO:0002399","MHC class II protein complex assembly","10/790","12/28928",0.833333333333333,30.5147679324895,17.1348188966681,1.37058628043517e-14,1.40693661222062e-12,1.0340555987631e-12,"12010/15001/14998/15000/14999/15002/14961/14960/14969/381091",10
"GO:0002503","GO:0002503","peptide antigen assembly with MHC class II protein complex","10/790","12/28928",0.833333333333333,30.5147679324895,17.1348188966681,1.37058628043517e-14,1.40693661222062e-12,1.0340555987631e-12,"12010/15001/14998/15000/14999/15002/14961/14960/14969/381091",10
"GO:0035458","GO:0035458","cellular response to interferon-beta","19/790","68/28928",0.279411764705882,10.2314221891288,12.7700776242282,1.50413752233494e-14,1.51117816605651e-12,1.11066996889996e-12,"102639543/623121/236312/100033459/15951/100040462/381308/15950/226695/55932/14468/14469/23961/23960/246730/15953/240327/15959/15957",19
"GO:0050792","GO:0050792","regulation of viral process","30/790","194/28928",0.154639175257732,5.66253425551351,10.9180099967858,1.58478378275062e-14,1.55903104628092e-12,1.14584037976509e-12,"20684/102639543/623121/236312/100033459/100040462/15950/19130/20568/100038882/23962/231655/246728/246727/23961/23960/246730/94094/76681/434219/20128/209387/68713/69550/20304/58185/12265/17858/224762/16149",30
"GO:0031341","GO:0031341","regulation of cell killing","27/790","156/28928",0.173076923076923,6.33768257059396,11.2007897995475,1.93043787189713e-14,1.82310552621965e-12,1.33992708708312e-12,"16963/30925/12010/83408/80782/16643/27007/14128/16160/18126/13421/14972/21354/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/20400",27
"GO:0050671","GO:0050671","positive regulation of lymphocyte proliferation","27/790","156/28928",0.173076923076923,6.33768257059396,11.2007897995475,1.93043787189713e-14,1.82310552621965e-12,1.33992708708312e-12,"12487/16963/18761/16184/22163/20423/24099/12501/81897/16160/20304/12775/20533/14165/321019/72049/320484/15000/14999/547431/11629/16149/12511/60533/58205/20371/12229",27
"GO:0030098","GO:0030098","lymphocyte differentiation","47/790","472/28928",0.0995762711864407,3.64625616820425,9.7125795159698,2.63055556939627e-14,2.43558498013513e-12,1.79008084877183e-12,"16182/20849/12487/30925/12902/16184/12010/12578/22417/20423/74734/14255/16205/83408/12525/12515/12518/272382/11833/12478/24099/12502/12500/12501/18985/12047/81897/67596/16160/12775/15985/58185/16364/110168/321019/12458/57757/15001/14998/14960/100038862/624681/16149/12482/20371/16186/12229",47
"GO:0032946","GO:0032946","positive regulation of mononuclear cell proliferation","27/790","159/28928",0.169811320754717,6.21810365416766,11.0552231093973,3.13503586523459e-14,2.84685372223803e-12,2.09235085985394e-12,"12487/16963/18761/16184/22163/20423/24099/12501/81897/16160/20304/12775/20533/14165/321019/72049/320484/15000/14999/547431/11629/16149/12511/60533/58205/20371/12229",27
"GO:0002705","GO:0002705","positive regulation of leukocyte mediated immunity","30/790","200/28928",0.15,5.4926582278481,10.6827807243229,3.64855239436212e-14,3.250653661543e-12,2.38913152814536e-12,"16182/12487/16963/30925/14125/12010/83408/16643/27007/14128/16160/327957/58185/14972/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/20371/20400/12229",30
"GO:0001912","GO:0001912","positive regulation of leukocyte mediated cytotoxicity","22/790","102/28928",0.215686274509804,7.89793993546786,11.6935380701912,4.54823656730277e-14,3.97718019829698e-12,2.92310642541856e-12,"16963/30925/12010/83408/16643/27007/16160/14972/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/20400",22
"GO:0070665","GO:0070665","positive regulation of leukocyte proliferation","28/790","175/28928",0.16,5.85883544303798,10.8025992162949,4.95778314494784e-14,4.25648218371703e-12,3.12838488591254e-12,"12487/16963/18761/16184/22163/20423/24099/76527/12501/81897/16160/20304/12775/20533/14165/321019/72049/320484/15000/14999/547431/11629/16149/12511/60533/58205/20371/12229",28
"GO:0001910","GO:0001910","regulation of leukocyte mediated cytotoxicity","25/790","137/28928",0.182481751824818,6.68206597061813,11.170093574599,5.08406019878138e-14,4.28695218904387e-12,3.15077941266583e-12,"16963/30925/12010/83408/80782/16643/27007/16160/13421/14972/21354/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/20400",25
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","29/790","190/28928",0.152631578947368,5.58902065289807,10.6337678122902,6.15248758458522e-14,5.09685024112481e-12,3.74602983681948e-12,"12487/69169/240754/12503/77799/329693/12526/12525/93675/12518/12483/16797/12478/12501/12047/67596/78473/12775/15985/12143/547431/100038862/632126/624681/74556/12482/20371/20400/12229",29
"GO:0002758","GO:0002758","innate immune response-activating signaling pathway","36/790","294/28928",0.122448979591837,4.48380263497804,10.0601586345474,6.2806185363235e-14,5.11328978077924e-12,3.75811239823205e-12,"102639543/623121/236312/100033459/100040462/15950/228801/229898/14469/100061/231655/246727/23961/23960/246730/414084/16643/27007/20128/54123/234311/81897/327957/637515/80861/382551/58185/16364/54483/15511/224762/224840/12475/60533/71398/12229",36
"GO:0042742","GO:0042742","defense response to bacterium","43/790","413/28928",0.104116222760291,3.81249885064517,9.64604585889547,7.28994481818512e-14,5.83442702228307e-12,4.28812632748552e-12,"19074/14061/12010/266620/192201/20568/16447/229898/55932/14468/14469/100038882/16069/76074/246728/246727/23961/23960/246730/109648/27007/244202/66298/634825/382059/100041759/13237/13239/626682/626708/100041952/503491/81897/16160/18126/66107/76758/78416/331063/270328/74548/57757/14972",43
"GO:0019886","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","12/790","22/28928",0.545454545454545,19.9733026467204,14.916911266004,7.97515200370553e-14,6.27644462691625e-12,4.6129958168802e-12,"12010/13040/15001/14998/15000/14999/15002/14961/14960/14969/381091/16149",12
"GO:0019885","GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","16/790","48/28928",0.333333333333333,12.2059071729958,13.0193012335074,8.22503075931259e-14,6.36698282712689e-12,4.67953863907741e-12,"12010/14972/21354/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990",16
"GO:0002478","GO:0002478","antigen processing and presentation of exogenous peptide antigen","14/790","34/28928",0.411764705882353,15.0778853313477,13.7623208464061,9.61259412339392e-14,7.32107571784937e-12,5.38076788197449e-12,"12010/13040/14972/15001/14998/15000/14999/21355/15002/14961/14960/14969/381091/16149",14
"GO:0002483","GO:0002483","antigen processing and presentation of endogenous peptide antigen","16/790","49/28928",0.326530612244898,11.9568070266081,12.8620326670984,1.1905807058635e-13,8.92368586204357e-12,6.55863757265156e-12,"12010/14972/21354/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990",16
"GO:0001909","GO:0001909","leukocyte mediated cytotoxicity","28/790","187/28928",0.149732620320856,5.48286739321736,10.304914410097,2.71982131602172e-13,2.00671816472728e-11,1.47487678929665e-11,"16963/30925/14061/12010/12481/83408/80782/16643/27007/72310/16160/13421/14972/21354/21355/15006/15013/15015/110557/15018/68395/110558/15039/100529082/15024/667977/14990/20400",28
"GO:0042098","GO:0042098","T cell proliferation","32/790","246/28928",0.130081300813008,4.76328084799835,9.93226043870205,2.95597420827579e-13,2.14740157099665e-11,1.57827481209478e-11,"12487/16963/18761/16184/27371/12578/22417/22163/20423/93675/27027/170786/24099/15930/12501/16160/20556/20304/12775/20533/72049/208154/320484/15000/14999/14960/547431/11629/12511/60533/58205/20371",32
"GO:0045069","GO:0045069","regulation of viral genome replication","21/790","100/28928",0.21,7.68972151898734,11.2284397594497,3.00305281909393e-13,2.14854778966084e-11,1.57911724793504e-11,"102639543/623121/236312/100033459/100040462/15950/19130/20568/100038882/23962/231655/246728/246727/23961/23960/246730/68713/69550/20304/58185/17858",21
